Phi[deg],Theta[deg],dB(DirTotal)
55,315,-1.50703
60,315,-1.50516
65,315,-1.50315
70,315,-1.50104
75,315,-1.49887
80,315,-1.49668
85,315,-1.4945
90,315,-1.49239
95,315,-1.49035
100,315,-1.48843
105,315,-1.48665
110,315,-1.48503
115,315,-1.48358
120,315,-1.48233
125,315,-1.48127
130,315,-1.48042
135,315,-1.47977
140,315,-1.47933
145,315,-1.47909
150,315,-1.47904
155,315,-1.47917
160,315,-1.47946
165,315,-1.47991
170,315,-1.4805
175,315,-1.48121
180,315,-1.48203
185,315,-1.48294
190,315,-1.48394
195,315,-1.48501
200,315,-1.48613
205,315,-1.4873
210,315,-1.4885
215,315,-1.48972
220,315,-1.49093
225,315,-1.49214
230,315,-1.49331
235,315,-1.49445
240,315,-1.49553
245,315,-1.49656
250,315,-1.49754
255,315,-1.49846
260,315,-1.49932
265,315,-1.50014
270,315,-1.50091
275,315,-1.50164
280,315,-1.50233
285,315,-1.50299
290,315,-1.50362
295,315,-1.50421
300,315,-1.50479
305,315,-1.50535
310,315,-1.5059
315,315,-1.50646
320,315,-1.50704
325,315,-1.50764
330,315,-1.50828
335,315,-1.50895
340,315,-1.50966
345,315,-1.51039
350,315,-1.51112
355,315,-1.51184
360,315,-1.51249
0,320,-2.51005
5,320,-2.5102
10,320,-2.51021
15,320,-2.51003
20,320,-2.50964
25,320,-2.50903
30,320,-2.50817
35,320,-2.50707
40,320,-2.50572
45,320,-2.50415
50,320,-2.50239
55,320,-2.50047
60,320,-2.49842
65,320,-2.4963
70,320,-2.49414
75,320,-2.49199
80,320,-2.48989
85,320,-2.48788
90,320,-2.48598
95,320,-2.48424
100,320,-2.48265
105,320,-2.48125
110,320,-2.48005
115,320,-2.47905
120,320,-2.47825
125,320,-2.47766
130,320,-2.47728
135,320,-2.4771
140,320,-2.47712
145,320,-2.47732
150,320,-2.4777
155,320,-2.47823
160,320,-2.47892
165,320,-2.47973
170,320,-2.48066
175,320,-2.48168
180,320,-2.48279
185,320,-2.48396
190,320,-2.48518
195,320,-2.48644
200,320,-2.48771
205,320,-2.48898
210,320,-2.49024
215,320,-2.49148
220,320,-2.49268
225,320,-2.49384
230,320,-2.49494
235,320,-2.49599
240,320,-2.49697
245,320,-2.4979
250,320,-2.49877
255,320,-2.49959
260,320,-2.50036
265,320,-2.50109
270,320,-2.50178
275,320,-2.50243
280,320,-2.50305
285,320,-2.50364
290,320,-2.50419
295,320,-2.5047
300,320,-2.50519
305,320,-2.50564
310,320,-2.50608
315,320,-2.5065
320,320,-2.50691
325,320,-2.50733
330,320,-2.50775
335,320,-2.50818
340,320,-2.50862
345,320,-2.50904
350,320,-2.50944
355,320,-2.50979
360,320,-2.51005
0,325,-3.66326
5,325,-3.66292
10,325,-3.66242
15,325,-3.66174
20,325,-3.66086
25,325,-3.65976
30,325,-3.65845
35,325,-3.65693
40,325,-3.65521
45,325,-3.65332
50,325,-3.65128
55,325,-3.64914
60,325,-3.64694
65,325,-3.64472
70,325,-3.64255
75,325,-3.64045
80,325,-3.63847
85,325,-3.63664
90,325,-3.635
95,325,-3.63357
100,325,-3.63235
105,325,-3.63137
110,325,-3.63063
115,325,-3.63012
120,325,-3.62985
125,325,-3.6298
130,325,-3.62997
135,325,-3.63034
140,325,-3.63091
145,325,-3.63165
150,325,-3.63256
155,325,-3.63361
160,325,-3.63479
165,325,-3.63607
170,325,-3.63745
175,325,-3.63889
180,325,-3.64038
185,325,-3.6419
190,325,-3.64343
195,325,-3.64496
200,325,-3.64645
205,325,-3.6479
210,325,-3.6493
215,325,-3.65062
220,325,-3.65187
225,325,-3.65304
230,325,-3.65412
235,325,-3.65511
240,325,-3.65603
245,325,-3.65686
250,325,-3.65762
255,325,-3.65832
260,325,-3.65896
265,325,-3.65955
270,325,-3.6601
275,325,-3.6606
280,325,-3.66106
285,325,-3.66147
290,325,-3.66185
295,325,-3.66218
300,325,-3.66246
305,325,-3.66271
310,325,-3.66292
315,325,-3.6631
320,325,-3.66325
325,325,-3.66337
330,325,-3.66348
335,325,-3.66356
340,325,-3.66362
345,325,-3.66363
350,325,-3.6636
355,325,-3.66348
360,325,-3.66326
0,330,-5.00879
5,330,-5.00783
10,330,-5.00672
15,330,-5.00544
20,330,-5.00399
25,330,-5.00234
30,330,-5.00052
35,330,-4.99854
40,330,-4.99641
45,330,-4.99416
50,330,-4.99184
55,330,-4.98948
60,330,-4.98713
65,330,-4.98485
70,330,-4.98267
75,330,-4.98064
80,330,-4.9788
85,330,-4.97719
90,330,-4.97583
95,330,-4.97474
100,330,-4.97394
105,330,-4.97342
110,330,-4.97318
115,330,-4.97323
120,330,-4.97354
125,330,-4.97411
130,330,-4.97491
135,330,-4.97594
140,330,-4.97716
145,330,-4.97856
150,330,-4.98012
155,330,-4.98181
160,330,-4.98362
165,330,-4.98551
170,330,-4.98746
175,330,-4.98945
180,330,-4.99145
185,330,-4.99344
190,330,-4.9954
195,330,-4.9973
200,330,-4.99913
205,330,-5.00086
210,330,-5.00249
215,330,-5.004
220,330,-5.00539
225,330,-5.00665
230,330,-5.00778
235,330,-5.00878
240,330,-5.00966
245,330,-5.01043
250,330,-5.01109
255,330,-5.01167
260,330,-5.01216
265,330,-5.01257
270,330,-5.01291
275,330,-5.01319
280,330,-5.0134
285,330,-5.01355
290,330,-5.01364
295,330,-5.01367
300,330,-5.01364
305,330,-5.01356
310,330,-5.01341
315,330,-5.01321
320,330,-5.01296
325,330,-5.01266
330,330,-5.01231
335,330,-5.01191
340,330,-5.01145
345,330,-5.01092
350,330,-5.01031
355,330,-5.00961
360,330,-5.00879
0,335,-6.60691
5,335,-6.60518
10,335,-6.60331
15,335,-6.60129
20,335,-6.59912
25,335,-6.59682
30,335,-6.59438
35,335,-6.59185
40,335,-6.58924
45,335,-6.58658
50,335,-6.58393
55,335,-6.58132
60,335,-6.57881
65,335,-6.57644
70,335,-6.57426
75,335,-6.57232
80,335,-6.57064
85,335,-6.56927
90,335,-6.56822
95,335,-6.56752
100,335,-6.56716
105,335,-6.56716
110,335,-6.5675
115,335,-6.56818
120,335,-6.56917
125,335,-6.57046
130,335,-6.57202
135,335,-6.57383
140,335,-6.57585
145,335,-6.57807
150,335,-6.58044
155,335,-6.58295
160,335,-6.58555
165,335,-6.58822
170,335,-6.59093
175,335,-6.59365
180,335,-6.59634
185,335,-6.59898
190,335,-6.60154
195,335,-6.60399
200,335,-6.60631
205,335,-6.60849
210,335,-6.6105
215,335,-6.61234
220,335,-6.61399
225,335,-6.61546
230,335,-6.61674
235,335,-6.61784
240,335,-6.61876
245,335,-6.61952
250,335,-6.62012
255,335,-6.62058
260,335,-6.6209
265,335,-6.62111
270,335,-6.6212
275,335,-6.62118
280,335,-6.62106
285,335,-6.62084
290,335,-6.62052
295,335,-6.62012
300,335,-6.61962
305,335,-6.61903
310,335,-6.61836
315,335,-6.61761
320,335,-6.61677
325,335,-6.61585
330,335,-6.61485
335,335,-6.61377
340,335,-6.61261
345,335,-6.61135
350,335,-6.60998
355,335,-6.60851
360,335,-6.60691
0,340,-8.56258
5,340,-8.5598
10,340,-8.55691
15,340,-8.5539
20,340,-8.5508
25,340,-8.54763
30,340,-8.5444
35,340,-8.54114
40,340,-8.5379
45,340,-8.53471
50,340,-8.53162
55,340,-8.52868
60,340,-8.52593
65,340,-8.52343
70,340,-8.52122
75,340,-8.51934
80,340,-8.51783
85,340,-8.51672
90,340,-8.51603
95,340,-8.51577
100,340,-8.51594
105,340,-8.51655
110,340,-8.51759
115,340,-8.51903
120,340,-8.52086
125,340,-8.52304
130,340,-8.52556
135,340,-8.52836
140,340,-8.53142
145,340,-8.5347
150,340,-8.53815
155,340,-8.54175
160,340,-8.54543
165,340,-8.54918
170,340,-8.55294
175,340,-8.55667
180,340,-8.56035
185,340,-8.56392
190,340,-8.56736
195,340,-8.57064
200,340,-8.57373
205,340,-8.5766
210,340,-8.57924
215,340,-8.58163
220,340,-8.58376
225,340,-8.58563
230,340,-8.58723
235,340,-8.58857
240,340,-8.58966
245,340,-8.59049
250,340,-8.59109
255,340,-8.59147
260,340,-8.59163
265,340,-8.5916
270,340,-8.59137
275,340,-8.59097
280,340,-8.5904
285,340,-8.58966
290,340,-8.58877
295,340,-8.58774
300,340,-8.58656
305,340,-8.58524
310,340,-8.58379
315,340,-8.58221
320,340,-8.5805
325,340,-8.57868
330,340,-8.57673
335,340,-8.57467
340,340,-8.57249
345,340,-8.57019
350,340,-8.56778
355,340,-8.56524
360,340,-8.56258
0,345,-11.0771
5,345,-11.0728
10,345,-11.0683
15,345,-11.0639
20,345,-11.0594
25,345,-11.0549
30,345,-11.0505
35,345,-11.0461
40,345,-11.0419
45,345,-11.0379
50,345,-11.0341
55,345,-11.0306
60,345,-11.0275
65,345,-11.0247
70,345,-11.0224
75,345,-11.0205
80,345,-11.0192
85,345,-11.0184
90,345,-11.0181
95,345,-11.0184
100,345,-11.0193
105,345,-11.0207
110,345,-11.0227
115,345,-11.0251
120,345,-11.0281
125,345,-11.0316
130,345,-11.0354
135,345,-11.0396
140,345,-11.0442
145,345,-11.049
150,345,-11.054
155,345,-11.0592
160,345,-11.0646
165,345,-11.0699
170,345,-11.0753
175,345,-11.0806
180,345,-11.0858
185,345,-11.0909
190,345,-11.0958
195,345,-11.1004
200,345,-11.1048
205,345,-11.1088
210,345,-11.1126
215,345,-11.1159
220,345,-11.1189
225,345,-11.1216
230,345,-11.1238
235,345,-11.1257
240,345,-11.1271
245,345,-11.1282
250,345,-11.1289
255,345,-11.1293
260,345,-11.1293
265,345,-11.129
270,345,-11.1284
275,345,-11.1274
280,345,-11.1262
285,345,-11.1247
290,345,-11.123
295,345,-11.121
300,345,-11.1187
305,345,-11.1162
310,345,-11.1136
315,345,-11.1107
320,345,-11.1076
325,345,-11.1043
330,345,-11.1009
335,345,-11.0973
340,345,-11.0935
345,345,-11.0896
350,345,-11.0856
355,345,-11.0814
360,345,-11.0771
0,350,-14.6078
5,350,-14.6005
10,350,-14.5933
15,350,-14.5861
20,350,-14.5791
25,350,-14.5722
30,350,-14.5655
35,350,-14.5592
40,350,-14.5532
45,350,-14.5476
50,350,-14.5424
55,350,-14.5378
60,350,-14.5338
65,350,-14.5304
70,350,-14.5277
75,350,-14.5257
80,350,-14.5245
85,350,-14.524
90,350,-14.5244
95,350,-14.5255
100,350,-14.5275
105,350,-14.5302
110,350,-14.5337
115,350,-14.538
120,350,-14.5429
125,350,-14.5485
130,350,-14.5547
135,350,-14.5614
140,350,-14.5685
145,350,-14.5761
150,350,-14.584
155,350,-14.5921
160,350,-14.6003
165,350,-14.6087
170,350,-14.6171
175,350,-14.6254
180,350,-14.6335
185,350,-14.6414
190,350,-14.6491
195,350,-14.6564
200,350,-14.6633
205,350,-14.6697
210,350,-14.6757
215,350,-14.6811
220,350,-14.6859
225,350,-14.6902
230,350,-14.6938
235,350,-14.6968
240,350,-14.6992
245,350,-14.7009
250,350,-14.7021
255,350,-14.7026
260,350,-14.7025
265,350,-14.7018
270,350,-14.7006
275,350,-14.6988
280,350,-14.6964
285,350,-14.6936
290,350,-14.6903
295,350,-14.6865
300,350,-14.6823
305,350,-14.6776
310,350,-14.6726
315,350,-14.6673
320,350,-14.6616
325,350,-14.6556
330,350,-14.6493
335,350,-14.6428
340,350,-14.6361
345,350,-14.6292
350,350,-14.6221
355,350,-14.615
360,350,-14.6078
0,355,-20.6172
5,355,-20.6018
10,355,-20.5867
15,355,-20.572
20,355,-20.5578
25,355,-20.5442
30,355,-20.5312
35,355,-20.5191
40,355,-20.5079
45,355,-20.4976
50,355,-20.4885
55,355,-20.4805
60,355,-20.4737
65,355,-20.4683
70,355,-20.4642
75,355,-20.4615
80,355,-20.4603
85,355,-20.4605
90,355,-20.4622
95,355,-20.4654
100,355,-20.4701
105,355,-20.4762
110,355,-20.4836
115,355,-20.4924
120,355,-20.5025
125,355,-20.5138
130,355,-20.5261
135,355,-20.5395
140,355,-20.5537
145,355,-20.5687
150,355,-20.5843
155,355,-20.6005
160,355,-20.617
165,355,-20.6337
170,355,-20.6505
175,355,-20.6673
180,355,-20.6839
185,355,-20.7001
190,355,-20.7159
195,355,-20.7311
200,355,-20.7455
205,355,-20.7592
210,355,-20.7718
215,355,-20.7835
220,355,-20.794
225,355,-20.8034
230,355,-20.8115
235,355,-20.8183
240,355,-20.8238
245,355,-20.8279
250,355,-20.8306
255,355,-20.8319
260,355,-20.8319
265,355,-20.8305
270,355,-20.8277
275,355,-20.8237
280,355,-20.8183
285,355,-20.8118
290,355,-20.8041
295,355,-20.7953
300,355,-20.7855
305,355,-20.7747
310,355,-20.763
315,355,-20.7505
320,355,-20.7374
325,355,-20.7235
330,355,-20.7092
335,355,-20.6944
340,355,-20.6792
345,355,-20.6638
350,355,-20.6483
355,355,-20.6327
360,355,-20.6172
0,360,-51.8634
5,360,-51.8634
10,360,-51.8634
15,360,-51.8634
20,360,-51.8634
25,360,-51.8634
30,360,-51.8634
35,360,-51.8634
40,360,-51.8634
45,360,-51.8634
50,360,-51.8634
55,360,-51.8634
60,360,-51.8634
65,360,-51.8634
70,360,-51.8634
75,360,-51.8634
80,360,-51.8634
85,360,-51.8634
90,360,-51.8634
95,360,-51.8634
100,360,-51.8634
105,360,-51.8634
110,360,-51.8634
115,360,-51.8634
120,360,-51.8634
125,360,-51.8634
130,360,-51.8634
135,360,-51.8634
140,360,-51.8634
145,360,-51.8634
150,360,-51.8634
155,360,-51.8634
160,360,-51.8634
165,360,-51.8634
170,360,-51.8634
175,360,-51.8634
180,360,-51.8634
185,360,-51.8634
190,360,-51.8634
195,360,-51.8634
200,360,-51.8634
205,360,-51.8634
210,360,-51.8634
215,360,-51.8634
220,360,-51.8634
225,360,-51.8634
230,360,-51.8634
235,360,-51.8634
240,360,-51.8634
245,360,-51.8634
250,360,-51.8634
255,360,-51.8634
260,360,-51.8634
265,360,-51.8634
270,360,-51.8634
275,360,-51.8634
280,360,-51.8634
285,360,-51.8634
290,360,-51.8634
295,360,-51.8634
300,360,-51.8634
305,360,-51.8634
310,360,-51.8634
315,360,-51.8634
320,360,-51.8634
325,360,-51.8634
330,360,-51.8634
335,360,-51.8634
340,360,-51.8634
345,360,-51.8634
350,360,-51.8634
355,360,-51.8634
360,360,-51.8634
